,subgraph_inf_t,inf_1,inf_2,was_inf,inf_weight_1,inf_weight_2,s_t+d,age,pid
0,1.0,0.0,1.0,0.0,0.0,39600.0,0.0,7,7
1,1.0,0.0,2.0,0.0,0.0,39600.0,0.0,7,7
0,1.0,0.0,1.0,0.0,0.0,2100.0,0.0,23,9
1,1.0,0.0,2.0,0.0,0.0,2100.0,0.0,23,9
2,1.0,0.0,3.0,0.0,0.0,2100.0,0.0,23,9
3,1.0,0.0,4.0,0.0,0.0,2100.0,0.0,23,9
4,1.0,0.0,4.0,0.0,0.0,2100.0,0.0,23,9
5,1.0,0.0,4.0,0.0,0.0,2100.0,0.0,23,9
0,1.0,0.0,1.0,0.0,0.0,55920.0,0.0,42,10
1,1.0,0.0,2.0,0.0,0.0,55920.0,0.0,42,10
0,1.0,0.0,1.0,0.0,0.0,1500.0,0.0,36,22
1,1.0,0.0,2.0,0.0,0.0,1500.0,0.0,36,22
2,1.0,0.0,3.0,0.0,0.0,1500.0,0.0,36,22
0,1.0,1.0,1.0,0.0,64798.0,64798.0,0.0,49,25
1,2.0,2.0,3.0,0.0,64798.0,139796.0,0.0,49,25
2,2.0,3.0,5.0,0.0,64798.0,139796.0,0.0,49,25
3,2.0,4.0,6.0,0.0,64798.0,139796.0,0.0,49,25
4,2.0,4.0,6.0,0.0,64798.0,139796.0,0.0,49,25
5,2.0,4.0,5.0,0.0,64798.0,139796.0,0.0,49,25
6,2.0,3.0,4.0,0.0,64798.0,140396.0,0.0,49,25
7,2.0,2.0,4.0,0.0,64798.0,140396.0,0.0,49,25
8,2.0,1.0,4.0,0.0,64798.0,140396.0,0.0,49,25
9,1.0,0.0,1.0,0.0,0.0,23700.0,0.0,49,25
0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,53,26
1,2.0,3.0,3.0,1.0,20400.0,20400.0,1.0,53,26
2,2.0,5.0,5.0,1.0,20400.0,20400.0,1.0,53,26
3,2.0,6.0,6.0,1.0,20400.0,20400.0,1.0,53,26
4,2.0,6.0,6.0,1.0,20400.0,20400.0,1.0,53,26
5,2.0,5.0,5.0,1.0,20400.0,20400.0,0.0,53,26
6,2.0,4.0,4.0,1.0,21600.0,21600.0,0.0,53,26
7,2.0,4.0,4.0,1.0,21600.0,21600.0,0.0,53,26
8,2.0,4.0,4.0,1.0,21600.0,21600.0,0.0,53,26
0,1.0,0.0,1.0,0.0,0.0,2100.0,0.0,58,35
1,1.0,0.0,2.0,0.0,0.0,2100.0,0.0,58,35
2,1.0,0.0,1.0,0.0,0.0,2100.0,0.0,58,35
3,1.0,0.0,2.0,0.0,0.0,2100.0,0.0,58,35
4,1.0,0.0,3.0,0.0,0.0,2100.0,0.0,58,35
5,1.0,0.0,4.0,0.0,0.0,2100.0,0.0,58,35
6,1.0,0.0,4.0,0.0,0.0,2100.0,0.0,58,35
7,1.0,0.0,4.0,0.0,0.0,2100.0,0.0,58,35
0,1.0,0.0,1.0,0.0,0.0,12900.0,0.0,64,40
0,1.0,0.0,1.0,0.0,0.0,9000.0,0.0,24,41
1,1.0,0.0,2.0,0.0,0.0,9000.0,0.0,24,41
2,1.0,0.0,1.0,0.0,0.0,4800.0,0.0,24,41
0,1.0,1.0,1.0,0.0,1200.0,1200.0,0.0,54,45
0,1.0,0.0,1.0,0.0,0.0,92398.0,0.0,56,46
0,1.0,0.0,1.0,0.0,0.0,11400.0,0.0,59,50
1,2.0,0.0,3.0,0.0,0.0,28620.0,0.0,59,50
2,2.0,0.0,5.0,0.0,0.0,28620.0,0.0,59,50
3,2.0,0.0,6.0,0.0,0.0,28620.0,0.0,59,50
4,2.0,0.0,6.0,0.0,0.0,28620.0,0.0,59,50
5,2.0,0.0,5.0,0.0,0.0,28620.0,0.0,59,50
0,1.0,0.0,1.0,0.0,0.0,3960.0,0.0,80,51
1,1.0,0.0,2.0,0.0,0.0,3960.0,0.0,80,51
0,1.0,0.0,1.0,0.0,0.0,41160.0,0.0,40,53
1,1.0,0.0,2.0,0.0,0.0,41160.0,0.0,40,53
0,1.0,0.0,1.0,0.0,0.0,2700.0,0.0,63,55
0,1.0,0.0,1.0,0.0,0.0,2700.0,0.0,54,56
0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,59,57
1,1.0,2.0,2.0,1.0,0.0,0.0,0.0,59,57
0,1.0,0.0,1.0,0.0,0.0,11100.0,0.0,60,60
0,1.0,0.0,1.0,0.0,0.0,2460.0,0.0,57,61
1,1.0,0.0,2.0,0.0,0.0,2460.0,0.0,57,61
2,1.0,0.0,3.0,0.0,0.0,2460.0,0.0,57,61
0,1.0,0.0,1.0,0.0,0.0,13620.0,0.0,89,66
0,1.0,0.0,1.0,0.0,0.0,2100.0,0.0,51,74
0,1.0,0.0,1.0,0.0,0.0,26400.0,0.0,52,76
1,1.0,0.0,2.0,0.0,0.0,26400.0,0.0,52,76
0,1.0,0.0,1.0,0.0,0.0,23400.0,0.0,56,83
1,1.0,0.0,2.0,0.0,0.0,23400.0,0.0,56,83
0,1.0,0.0,1.0,0.0,0.0,9000.0,0.0,53,84
1,1.0,0.0,2.0,0.0,0.0,9000.0,0.0,53,84
2,1.0,0.0,3.0,0.0,0.0,9000.0,0.0,53,84
3,1.0,0.0,4.0,0.0,0.0,9000.0,0.0,53,84
4,1.0,0.0,4.0,0.0,0.0,9000.0,0.0,53,84
5,1.0,0.0,4.0,0.0,0.0,9000.0,0.0,53,84
0,1.0,1.0,1.0,0.0,1800.0,1800.0,0.0,85,91
1,2.0,2.0,3.0,0.0,1800.0,13800.0,0.0,85,91
2,2.0,3.0,5.0,0.0,1800.0,13800.0,0.0,85,91
3,2.0,4.0,6.0,0.0,1800.0,13800.0,0.0,85,91
4,2.0,4.0,6.0,0.0,1800.0,13800.0,0.0,85,91
5,2.0,4.0,5.0,0.0,1800.0,13800.0,0.0,85,91
6,2.0,3.0,4.0,0.0,1800.0,14400.0,0.0,85,91
7,2.0,2.0,4.0,0.0,1800.0,14400.0,0.0,85,91
8,2.0,1.0,4.0,0.0,1800.0,14400.0,0.0,85,91
0,1.0,0.0,1.0,0.0,0.0,161098.0,0.0,82,92
1,1.0,0.0,2.0,0.0,0.0,161098.0,0.0,82,92
2,1.0,0.0,3.0,0.0,0.0,161098.0,0.0,82,92
3,1.0,0.0,4.0,0.0,0.0,161098.0,0.0,82,92
4,1.0,0.0,4.0,0.0,0.0,161098.0,0.0,82,92
5,1.0,0.0,4.0,0.0,0.0,161098.0,0.0,82,92
0,1.0,0.0,1.0,0.0,0.0,7380.0,0.0,63,104
0,1.0,0.0,1.0,0.0,0.0,16500.0,0.0,47,125
1,1.0,0.0,2.0,0.0,0.0,16500.0,0.0,47,125
2,1.0,0.0,3.0,0.0,0.0,16500.0,0.0,47,125
3,1.0,0.0,4.0,0.0,0.0,16500.0,0.0,47,125
4,1.0,0.0,4.0,0.0,0.0,16500.0,0.0,47,125
5,1.0,0.0,4.0,0.0,0.0,16500.0,0.0,47,125
0,1.0,0.0,1.0,0.0,0.0,5820.0,0.0,51,126
1,1.0,0.0,2.0,0.0,0.0,5820.0,0.0,51,126
2,1.0,0.0,3.0,0.0,0.0,5820.0,0.0,51,126
0,1.0,0.0,1.0,0.0,0.0,25200.0,0.0,47,136
1,1.0,0.0,2.0,0.0,0.0,25200.0,0.0,47,136
2,1.0,0.0,1.0,0.0,0.0,57960.0,0.0,47,136
3,1.0,0.0,2.0,0.0,0.0,57960.0,0.0,47,136
4,1.0,0.0,3.0,0.0,0.0,57960.0,0.0,47,136
0,1.0,0.0,1.0,0.0,0.0,65940.0,0.0,22,141
0,1.0,0.0,1.0,0.0,0.0,14040.0,0.0,36,144
1,1.0,0.0,2.0,0.0,0.0,14040.0,0.0,36,144
2,1.0,0.0,1.0,0.0,0.0,7620.0,0.0,36,144
0,1.0,0.0,1.0,0.0,0.0,17220.0,0.0,22,153
1,1.0,0.0,2.0,0.0,0.0,17220.0,0.0,22,153
0,1.0,0.0,1.0,0.0,0.0,88798.0,0.0,61,166
1,1.0,0.0,2.0,0.0,0.0,88798.0,0.0,61,166
2,1.0,0.0,3.0,0.0,0.0,88798.0,0.0,61,166
3,1.0,0.0,4.0,0.0,0.0,88798.0,0.0,61,166
4,1.0,0.0,4.0,0.0,0.0,88798.0,0.0,61,166
5,1.0,0.0,4.0,0.0,0.0,88798.0,0.0,61,166
0,1.0,0.0,1.0,0.0,0.0,70078.0,0.0,61,167
1,1.0,0.0,2.0,0.0,0.0,70078.0,0.0,61,167
2,1.0,0.0,3.0,0.0,0.0,70078.0,0.0,61,167
3,1.0,0.0,4.0,0.0,0.0,70078.0,0.0,61,167
4,1.0,0.0,4.0,0.0,0.0,70078.0,0.0,61,167
5,1.0,0.0,4.0,0.0,0.0,70078.0,0.0,61,167
0,1.0,1.0,1.0,0.0,1440.0,1440.0,0.0,25,168
1,2.0,2.0,3.0,0.0,1440.0,13080.0,0.0,25,168
2,2.0,3.0,5.0,0.0,1440.0,13080.0,0.0,25,168
3,2.0,4.0,6.0,0.0,1440.0,13080.0,0.0,25,168
4,2.0,4.0,6.0,0.0,1440.0,13080.0,0.0,25,168
5,2.0,4.0,5.0,0.0,1440.0,13080.0,0.0,25,168
6,2.0,3.0,4.0,0.0,1440.0,13680.0,0.0,25,168
7,2.0,2.0,4.0,0.0,1440.0,13680.0,0.0,25,168
8,2.0,1.0,4.0,0.0,1440.0,13680.0,0.0,25,168
0,1.0,0.0,1.0,0.0,0.0,57900.0,0.0,49,177
0,1.0,0.0,1.0,0.0,0.0,3300.0,0.0,63,186
0,1.0,0.0,1.0,0.0,0.0,51779.0,0.0,86,193
0,1.0,0.0,1.0,0.0,0.0,2340.0,0.0,68,197
1,1.0,0.0,2.0,0.0,0.0,2340.0,0.0,68,197
2,1.0,0.0,3.0,0.0,0.0,2340.0,0.0,68,197
3,1.0,0.0,1.0,0.0,0.0,1500.0,0.0,68,197
