inf_1,inf_2,was_inf,inf_weight_1,inf_weight_2,s_t+d,age,pid
0.0,1.0,0.0,0.0,2700.0,0.0,72,148814
0.0,1.0,0.0,0.0,18329.5,0.0,60,148819
0.0,2.0,0.0,0.0,18329.5,0.0,60,148819
0.0,3.0,0.0,0.0,18329.5,0.0,60,148819
0.0,4.0,0.0,0.0,18329.5,0.0,60,148819
0.0,4.0,0.0,0.0,18329.5,0.0,60,148819
0.0,1.0,0.0,0.0,7560.0,0.0,60,148819
0.0,2.0,0.0,0.0,7800.0,0.0,60,148819
0.0,3.0,0.0,0.0,20130.0,0.0,60,148819
0.0,1.0,0.0,0.0,7050.0,0.0,44,148821
0.0,1.0,0.0,0.0,50850.0,0.0,44,148821
0.0,2.0,0.0,0.0,52440.0,0.0,44,148821
0.0,2.0,0.0,0.0,23279.5,0.0,62,148829
0.0,1.0,0.0,0.0,16650.0,0.0,62,148829
0.0,2.0,0.0,0.0,16650.0,0.0,62,148829
0.0,3.0,0.0,0.0,16650.0,0.0,62,148829
0.0,4.0,0.0,0.0,16650.0,0.0,62,148829
0.0,1.0,0.0,0.0,35400.0,0.0,62,148829
0.0,2.0,0.0,0.0,35400.0,0.0,62,148829
0.0,3.0,0.0,0.0,35400.0,0.0,62,148829
0.0,4.0,0.0,0.0,35400.0,0.0,62,148829
0.0,4.0,0.0,0.0,35400.0,0.0,62,148829
0.0,1.0,0.0,0.0,1800.0,0.0,62,148829
0.0,1.0,0.0,0.0,870.0,0.0,40,148831
0.0,2.0,0.0,0.0,870.0,0.0,40,148831
0.0,1.0,0.0,0.0,3270.0,0.0,40,148831
0.0,2.0,0.0,0.0,9630.0,0.0,40,148831
0.0,1.0,0.0,0.0,1950.0,0.0,67,148837
0.0,1.0,0.0,0.0,26099.0,0.0,67,148837
0.0,2.0,0.0,0.0,33899.0,0.0,67,148837
0.0,3.0,0.0,0.0,36689.0,0.0,67,148837
0.0,1.0,0.0,0.0,420.0,0.0,56,148842
0.0,1.0,0.0,0.0,34199.5,0.0,44,148848
0.0,2.0,0.0,0.0,50789.0,0.0,44,148848
0.0,2.0,0.0,0.0,16589.5,0.0,44,148848
0.0,3.0,0.0,0.0,16589.5,0.0,44,148848
0.0,4.0,0.0,0.0,16589.5,0.0,44,148848
0.0,1.0,0.0,0.0,2370.0,0.0,44,148848
0.0,1.0,0.0,0.0,2490.0,0.0,56,148849
0.0,2.0,0.0,0.0,2490.0,0.0,56,148849
0.0,3.0,0.0,0.0,2490.0,0.0,56,148849
0.0,4.0,0.0,0.0,2490.0,0.0,56,148849
0.0,4.0,0.0,0.0,2490.0,0.0,56,148849
0.0,1.0,0.0,0.0,51569.5,0.0,9,148854
0.0,1.0,0.0,0.0,37920.0,0.0,9,148854
0.0,2.0,0.0,0.0,37920.0,0.0,9,148854
0.0,3.0,0.0,0.0,37920.0,0.0,9,148854
0.0,4.0,0.0,0.0,37920.0,0.0,9,148854
0.0,1.0,0.0,0.0,7200.0,0.0,52,148855
